Acropora,Pavona,Favids,Montipora,Lithopyllon,Porites,Goniopora,Platygyra,Hydnophora,Cyphastrea,Echinophyllia,Turbinaria ,Psammacora,Leptastrea
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,66.7,0.0
50.0,0.0,1.0,2.1,0.0,4.9,0.0,32.6,0.0,0.9,0.0,0.0,0.0,0.0
37.6,0.0,2.8,0.9,0.5,28.8,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
38.2,1.7,2.8,41.5,0.5,0.8,6.3,0.0,3.7,4.5,0.0,0.0,0.0,0.0
86.8,0.0,4.0,4.2,0.0,1.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.4,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.1,10.3,0.4,5.2,0.0,0.0,0.0,45.9,36.8,0.0,0.0,0.0
49.0,0.0,29.3,0.0,0.0,11.6,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0
20.7,51.9,0.0,0.5,1.2,2.1,0.0,0.0,0.0,1.7,13.9,0.0,0.0,0.0
45.9,0.0,0.0,4.7,0.0,7.3,0.0,0.0,0.0,42.1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
60.2,2.7,8.2,26.1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.4,2.7,1.1,12.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.7,2.0,0.1,8.8,0.4,2.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.7,6.0,1.7,10.7,0.6,0.0,0.7,5.4,0.0,0.0,0.0,0.0,0.0,0.0
47.5,2.8,9.6,37.8,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.5,0.0,10.4,59.5,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.8,41.3,2.2,4.6,0.5,0.0,0.0,0.2,0.0,30.7,3.4,0.0,0.0,0.8
90.5,1.3,3.8,2.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.9,0.8,63.3,0.1,1.1,3.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
89.1,0.0,6.2,3.7,0.1,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0
99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.4,23.3,1.6,13.6,1.9,21.1,11.4,0.0,0.0,17.6,0.0,0.0,0.0,0.0
15.1,2.5,0.6,16.0,0.1,38.7,0.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0
42.4,8.0,2.3,0.3,0.5,11.2,0.0,0.0,0.1,28.3,1.9,4.4,0.0,0.0
39.7,8.1,0.2,4.2,0.9,26.7,0.0,0.0,0.0,9.9,8.5,0.0,0.0,0.0
90.0,2.5,1.8,1.6,0.0,1.2,0.8,0.0,1.5,0.0,0.0,0.0,0.0,0.0
32.7,4.1,51.5,0.0,9.5,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.9,0.0,0.5,0.2,0.0,0.0,16.5,0.0,0.0,0.0,60.1,0.0,0.7,0.0
